team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Spain National Team,Spain,2002,Spain,5,4,1,0,3,2,1,2,2,0,0,0,0,2.2,2,3,0,0,0,5,10,5,5,15,10,5,7,3,3,2,4,1,45,51,30,90,120,45,1,1,0,4,3,1,1,1,0,3,2,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,1,2,1,1,3,2,1,1,1,0,1,1,0,2,1.75,3,3,2.5,5,2,1.75,3,1,0.75,2,1.2,0.75,3,0.8,0.5,2,0.4,0.25,1,4,4,3,3,1,0,3,3,2,2,0,0,1,1,1,1,1,0,1,1,2,2,4,5,1,1,2,2,4,4,0,0,0,0,0,1,80,80,60,60,20,0,75,75,50,50,0,0,100,100,100,100,100,0,20,20,40,40,80,100,25,25,50,50,100,100,0,0,0,0,0,100,4,1,1,3,0,0,1,1,1,80,20,20,75,0,0,100,100,100,60,50,100,6,20,25,0,80,75,100,20,25,0,60,50,100,3,3,0,60,75,0,2,2,0,40,50,0,1,0,1,20,0,100,60,50,100,20,25,0,20,25,0,0.00,0.00,0.00,1.4,1.75,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,60,2,0,0,0,2,2,1,1,2,1,0,0,1,0,1,0,0,2,40,50,0,0,0,0,0
Portugal National Team,Portugal,2002,Portugal,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,0,0,0,22,6,4,2,10,5,5,4,2,1,3,3,-1,45,45,45,68,180,30,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,3,-1,1,-2,1,1,0,1,1,0,1,0,1,1.33,2,0,3.33,2.5,5,2,2,2,1.33,0.5,3,1.67,0.5,4,0.67,0.5,1,1,0,3,3,2,2,2,1,0,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2,3,0,1,1,1,2,2,0,0,0,0,0,1,100,67,67,67,33,0,100,50,50,50,0,0,100,100,100,100,100,0,0,33,33,33,67,100,0,50,50,50,100,100,0,0,0,0,0,100,2,1,1,1,0,0,1,1,1,67,33,33,50,0,0,100,100,100,33,50,0,31,33,50,0,33,0,100,33,50,0,33,50,0,2,2,0,67,100,0,1,1,0,33,50,0,1,0,1,33,0,100,33,50,0,33,50,0,33,0,100,0.00,0.00,0.00,3.33,4,2.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,67,0,1,0,1,0,0,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,67,50,100,0
Sweden National Team,Sweden,2002,Sweden,4,3,1,0,1,1,0,2,1,1,1,1,0,1.25,1.33,1,0,0,0,14,5,5,0,10,8,2,4,1,4,1,0,0,72,68,90,72,68,90,0,0,0,4,3,1,0,0,0,2,2,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,2,1,-1,0,-1,0,0,0,3,3,0,1,0,1,0.75,1,0,2.5,2.67,2,1.25,1.33,1,1.25,1.33,1,1.25,1.33,1,0.5,0.67,0,0.75,0.67,1,4,4,2,0,0,0,3,3,2,0,0,0,1,1,0,0,0,0,0,0,2,4,4,4,0,0,1,3,3,3,0,0,1,1,1,1,100,100,50,0,0,0,100,100,67,0,0,0,100,100,0,0,0,0,0,0,50,100,100,100,0,0,33,100,100,100,0,0,100,100,100,100,3,2,0,2,2,0,1,0,0,75,50,0,67,67,0,100,0,0,25,33,0,0,0,0,0,100,100,100,0,0,0,50,67,0,1,1,0,25,33,0,2,1,1,50,33,100,2,2,0,50,67,0,0,0,0,75,100,0,25,0,100,0.00,0.00,0.00,1.5,1.33,2.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25,0,1,0,1,0,2,1,0,0,0,0,2,1,0,0,0,0,1,50,33,100,25,33,0,0
Poland National Team,Poland,2002,Poland,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,0,0,0,21,3,7,-4,10,4,6,3,0,1,6,2,-6,90,30,0,39,90,30,0,0,0,1,1,0,2,0,2,1,1,0,0,0,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,-2,1,1,0,0,0,0,2,0,2,1,3,0,3.33,4,3,1,3,0,2.33,1,3,1.33,2,1,0.67,2,0,0.67,0,1,3,3,2,2,0,0,1,1,1,1,0,0,2,2,1,1,0,0,0,0,1,1,3,3,0,0,0,0,1,1,0,0,1,1,2,2,100,100,67,67,0,0,100,100,100,100,0,0,100,100,50,50,0,0,0,0,33,33,100,100,0,0,0,0,100,100,0,0,50,50,100,100,3,1,0,1,1,0,2,0,0,100,33,0,100,100,0,100,0,0,33,100,0,129,0,0,0,33,100,0,67,0,100,33,100,0,1,1,0,33,100,0,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,0,0,0,67,0,100,0.00,0.00,0.00,3,4,2.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,2,0,0,0,67,0,100,0
Slovenia National Team,Slovenia,2002,Slovenia,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,31,2,7,-5,9,4,5,1,1,3,4,-2,-3,134,90,180,39,30,45,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,-1,1,-2,1,1,0,0,0,0,2,0,2,1,3,0,3,4,2.5,0.67,1,0.5,2.33,3,2,1,1,1,0.33,1,0,0.67,0,1,3,2,2,2,0,0,1,1,1,1,0,0,2,1,1,1,0,0,0,1,1,1,3,3,0,0,0,0,1,1,0,1,1,1,2,2,100,67,67,67,0,0,100,100,100,100,0,0,100,50,50,50,0,0,0,33,33,33,100,100,0,0,0,0,100,100,0,50,50,50,100,100,3,0,0,1,0,0,2,0,0,100,0,0,100,0,0,100,0,0,0,0,0,10,0,0,0,67,100,50,33,0,50,33,100,0,1,1,0,33,100,0,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,0,0,0,67,0,100,0.00,0.00,0.00,4,6,3.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,2,2,0,0,0,100,100,100,0
Germany National Team,Germany,2002,Germany,7,6,1,0,5,4,1,1,1,0,1,1,0,2.29,2.17,3,0,0,0,2,14,3,11,17,15,2,12,2,3,0,9,2,45,45,45,209,180,0,5,4,1,1,1,0,1,1,0,6,5,1,0,0,0,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,3,0,4,3,1,0,0,0,1.86,2,1,2.43,2.5,2,2,2,2,0.43,0.5,0,0.86,1,0,0.86,1,0,0,0,0,7,4,1,1,1,1,6,3,1,1,1,1,1,1,0,0,0,0,0,3,6,6,6,6,0,3,5,5,5,5,0,0,1,1,1,1,100,57,14,14,14,14,100,50,17,17,17,17,100,100,0,0,0,0,0,43,86,86,86,86,0,50,83,83,83,83,0,0,100,100,100,100,3,1,1,3,1,1,0,0,0,43,14,14,50,17,17,0,0,0,71,67,100,-8,71,67,100,14,17,0,14,17,0,86,83,100,7,6,1,100,100,100,4,3,1,57,50,100,0,0,0,0,0,0,43,50,0,57,50,100,0,0,0,0.00,0.00,0.00,3,2,8.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,57,0,2,1,2,2,0,1,3,3,0,0,0,0,0,0,1,1,1,14,17,0,14,17,0,0
England National Team,England,2002,England,5,2,3,0,2,0,2,2,1,1,1,1,0,1.6,0.5,2.33,0,0,0,6,6,3,3,9,5,4,2,4,3,0,-1,4,75,90,68,150,60,0,3,0,3,2,2,0,1,0,1,4,2,2,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,1,0,5,1,4,3,1,2,2,1,1,0,0,0,2.2,2,2.33,1.8,2.5,1.33,1.2,1,1.33,0.6,1.5,0,1.4,1.5,1.33,1.2,1,1.33,0.2,0.5,0,4,3,2,0,0,0,2,2,1,0,0,0,2,1,1,0,0,0,1,2,3,5,5,5,0,0,1,2,2,2,1,2,2,3,3,3,80,60,40,0,0,0,100,100,50,0,0,0,67,33,33,0,0,0,20,40,60,100,100,100,0,0,50,100,100,100,33,67,67,100,100,100,4,2,1,2,1,0,2,1,1,80,40,20,100,50,0,67,33,33,40,0,67,-84,60,0,100,40,100,0,20,0,33,80,100,67,4,1,3,80,50,100,1,0,1,20,0,33,1,1,0,20,50,0,60,50,67,40,50,33,0,0,0,0.00,0.00,0.00,1.5,1.5,1.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,3,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,40,50,33,20,50,0,0
Republic of Ireland National Team,Republic of Ireland,2002,Republic of Ireland,4,1,3,0,1,0,1,3,1,2,0,0,0,1.5,1,1.67,0,0,0,12,6,3,3,9,2,7,1,5,1,2,0,3,60,90,54,120,90,134,1,0,1,3,1,2,0,0,0,1,0,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,-2,-1,-1,1,0,1,0,0,0,3,1,2,0.75,0,1,2.25,2,2.33,1.5,1,1.67,0.75,1,0.67,1,1,1,0.25,0,0.33,0.75,1,0.67,4,4,1,0,0,0,1,1,0,0,0,0,3,3,1,0,0,0,0,0,3,4,4,4,0,0,1,1,1,1,0,0,2,3,3,3,100,100,25,0,0,0,100,100,0,0,0,0,100,100,33,0,0,0,0,0,75,100,100,100,0,0,100,100,100,100,0,0,67,100,100,100,4,0,0,1,0,0,3,0,0,100,0,0,100,0,0,100,0,0,25,0,33,-33,25,0,33,75,100,67,0,0,0,25,0,33,1,0,1,25,0,33,3,1,2,75,100,67,0,0,0,0,0,0,25,0,33,0,0,0,75,100,67,0.00,0.00,0.00,1.33,3,0.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25,1,0,0,0,0,1,1,0,3,1,1,0,1,0,0,0,0,0,75,100,67,0,0,0,0
Italy National Team,Italy,2002,Italy,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,0,0,0,19,5,5,0,10,5,5,3,2,2,3,1,-1,72,60,90,72,90,60,1,1,0,3,1,2,0,0,0,3,2,1,0,0,0,12,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,2.5,2.5,2.5,1.25,1.5,1,1.25,1,1.5,1,1,1,0.75,1,0.5,0.25,0,0.5,4,4,2,0,0,0,2,2,1,0,0,0,2,2,1,0,0,0,0,0,2,4,4,4,0,0,1,2,2,2,0,0,1,2,2,2,100,100,50,0,0,0,100,100,50,0,0,0,100,100,50,0,0,0,0,0,50,100,100,100,0,0,50,100,100,100,0,0,50,100,100,100,3,1,0,1,1,0,2,0,0,75,25,0,50,50,0,100,0,0,25,50,0,20,25,50,0,75,50,100,0,0,0,75,100,50,3,2,1,75,100,50,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,25,50,0,25,0,50,0.00,0.00,0.00,3,1,5.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,25,0,50,50,50,50,0
Belgium National Team,Belgium,2002,Belgium,4,1,3,0,1,1,0,2,0,2,1,0,1,1.25,3,0.67,0,0,0,13,6,7,-1,13,5,8,3,3,2,5,1,-2,60,30,90,51,45,54,0,0,0,3,1,2,1,0,1,3,1,2,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,1,1,0,3,0,3,0,0,0,1.5,3,1,3.25,5,2.67,1.5,3,1,1.75,2,1.67,0.75,1,0.67,0.5,1,0.33,0.25,0,0.33,4,4,2,2,1,0,1,1,1,1,1,0,3,3,1,1,0,0,0,0,2,2,3,4,0,0,0,0,0,1,0,0,2,2,3,3,100,100,50,50,25,0,100,100,100,100,100,0,100,100,33,33,0,0,0,0,50,50,75,100,0,0,0,0,0,100,0,0,67,67,100,100,2,1,0,1,0,0,1,1,0,50,25,0,100,0,0,33,33,0,25,100,0,43,0,0,0,75,100,67,25,0,33,75,100,67,3,1,2,75,100,67,2,0,2,50,0,67,1,0,1,25,0,33,25,100,0,75,0,100,0,0,0,0.00,0.00,0.00,1.5,1,1.67,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,125,1,1,0,0,0,1,0,2,1,0,1,0,0,0,2,2,0,2,50,0,67,25,0,33,0
