team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Switzerland National Team,Switzerland,2010,Switzerland,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,3,0,0,14,1,1,0,2,0,2,0,1,0,1,0,0,273,0,180,273,0,180,2,1,1,0,0,0,2,1,1,1,0,1,8,2,6,10,1,9,42,53,36,20,5,15,7,2,5,13,3,10,55,9,46,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,0.67,0,1,0.33,0,0.5,0.33,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,3,3,3,3,1,1,1,1,1,1,0,2,2,2,2,2,67,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,33,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,50,0,67,100,50,0,0,0,67,100,50,33,0,50,3,1,2,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,2.67,2.00,3.00,3.33,1,4.50,67,67,33,33,33,33,33,33,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,33,100,0,33,0,50,33
Serbia National Team,Serbia,2010,Serbia,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,4,0,0,22,2,3,-1,5,1,4,0,2,1,2,-1,0,134,0,90,90,90,90,1,0,1,1,0,1,1,1,0,1,0,1,11,4,7,10,4,6,51,51,52,39,11,28,14,3,11,25,8,17,30,10,20,1,0,1,0,0,0,1,0,1,1,0,1,2,1,1,0,0,0,1.67,1,2,1.67,1,2,0.67,0,1,1,1,1,0.33,0,0.5,0.33,0,0.5,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,2,2,3,3,3,0,1,1,1,1,1,0,1,1,2,2,2,100,33,33,0,0,0,100,0,0,0,0,0,100,50,50,0,0,0,0,67,67,100,100,100,0,100,100,100,100,100,0,50,50,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,50,0,0,33,0,50,0,33,0,50,33,0,50,33,100,0,33,0,50,3,1,2,100,100,100,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,67,100,50,0,0,0,3.67,4.00,3.50,3.33,4,3.00,100,100,33,33,33,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,67,100,50,0
Spain National Team,Spain,2010,Spain,7,3,4,0,6,2,4,0,0,0,1,1,0,2.57,2,3,1,0,0,1,8,2,6,10,4,6,3,5,1,1,2,4,79,90,72,310,273,360,5,2,3,1,0,1,1,1,0,6,2,4,56,30,26,8,1,7,61,66,57,109,55,54,49,27,22,60,28,32,80,30,50,3,1,2,0,0,0,3,1,2,2,1,1,5,2,3,0,0,0,1.57,1.67,1.5,1.43,1.33,1.5,1.14,1,1.25,0.29,0.33,0.25,0.43,0.33,0.5,0.43,0.33,0.5,0,0,0,7,2,1,0,0,0,3,1,0,0,0,0,4,1,1,0,0,0,0,5,6,7,7,7,0,2,3,3,3,3,0,3,3,4,4,4,100,29,14,0,0,0,100,33,0,0,0,0,100,25,25,0,0,0,0,71,86,100,100,100,0,67,100,100,100,100,0,75,75,100,100,100,2,1,0,1,0,0,1,1,0,29,14,0,33,0,0,25,25,0,86,67,100,-13,71,67,75,14,0,25,14,33,0,86,67,100,7,3,4,100,100,100,5,2,3,71,67,75,0,0,0,0,0,0,29,33,25,71,67,75,0,0,0,8.00,10.00,6.50,1.14,0.33,1.75,100,86,71,56,56,56,56,43,0.00,0.00,0.00,0.00,0.00,0.00,14,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,14,33,0,14
Portugal National Team,Portugal,2010,Portugal,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2,0,0,11,7,1,6,8,7,1,7,0,0,1,7,-1,51,26,0,360,0,180,3,2,1,0,0,0,3,1,2,1,1,0,16,9,7,10,6,4,44,45,43,54,36,18,25,18,7,29,18,11,58,27,31,1,1,0,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,2,3.5,0.5,1.75,3.5,0,0.25,0,0.5,0.25,0.5,0,0.25,0.5,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,50,25,25,25,25,25,50,50,50,50,50,50,50,0,0,0,0,0,50,75,75,75,75,75,50,50,50,50,50,50,50,100,100,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,50,0,0,0,0,0,25,50,0,100,75,100,50,0,0,0,75,50,100,25,50,0,4,2,2,100,100,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,75,50,100,0,0,0,4.00,4.50,3.50,2.5,3,2.00,75,75,75,50,25,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,50,50,50,25,0,50,0
Slovenia National Team,Slovenia,2010,Slovenia,3,2,1,0,1,0,1,1,1,0,1,1,0,1.33,0.5,3,3,0,0,21,3,3,0,6,5,1,2,1,3,0,-1,1,90,90,90,90,60,0,1,0,1,1,1,0,1,1,0,2,1,1,7,4,3,9,7,2,49,49,48,26,19,7,17,12,5,9,7,2,44,34,10,2,2,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,2,2.5,1,1,1,1,1,1.5,0,1,1.5,0,0.67,1,0,0.33,0.5,0,3,1,1,1,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,2,2,2,3,3,0,1,1,1,2,2,0,1,1,1,1,1,100,33,33,33,0,0,100,50,50,50,0,0,100,0,0,0,0,0,0,67,67,67,100,100,0,50,50,50,100,100,0,100,100,100,100,100,2,1,0,2,1,0,0,0,0,67,33,0,100,50,0,0,0,0,33,0,100,-25,33,0,100,33,50,0,33,50,0,67,50,100,2,1,1,67,50,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,33,0,100,33,50,0,2.33,2.00,3.00,3,3.5,2.00,67,33,33,33,33,33,33,0,0.00,0.00,0.00,0.00,0.00,0.00,33,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,33,50,0,33,50,0,0
Germany National Team,Germany,2010,Germany,7,4,3,0,5,2,3,0,0,0,2,2,0,2.14,1.5,3,1,0,0,3,16,5,11,21,11,10,8,8,3,2,5,6,39,45,34,127,120,134,3,1,2,2,1,1,2,2,0,5,2,3,44,21,23,13,8,5,52,53,51,96,48,48,49,27,22,47,21,26,75,45,30,6,4,2,3,2,1,3,2,1,3,2,1,3,1,2,1,1,0,1.71,1.75,1.67,3,2.75,3.33,2.29,2,2.67,0.71,0.75,0.67,1.29,1.5,1,0.86,1,0.67,0.43,0.5,0.33,7,4,4,4,2,0,4,2,2,2,1,0,3,2,2,2,1,0,0,3,3,3,5,7,0,2,2,2,3,4,0,1,1,1,2,3,100,57,57,57,29,0,100,50,50,50,25,0,100,67,67,67,33,0,0,43,43,43,71,100,0,50,50,50,75,100,0,33,33,33,67,100,5,3,1,3,2,1,2,1,0,71,43,14,75,50,25,67,33,0,71,50,100,-10,43,25,67,29,25,33,29,50,0,71,50,100,4,2,2,57,50,67,3,2,1,43,50,33,2,1,1,29,25,33,43,50,33,43,25,67,14,25,0,6.29,5.25,7.67,1.86,2,1.67,100,100,86,71,56,28,28,14,0.00,0.00,0.00,0.00,0.00,0.00,71,2,2,1,1,0,2,5,1,2,0,0,1,2,0,1,0,1,0,0,0,0,29,50,0,14
England National Team,England,2010,England,4,2,2,0,1,0,1,2,2,0,1,0,1,1.25,1,1.5,1,0,0,12,3,5,-2,8,2,6,1,2,1,4,0,-2,120,180,90,72,180,45,2,1,1,2,1,1,1,1,0,2,1,1,34,17,17,6,4,2,53,54,52,59,28,31,34,15,19,25,13,12,52,26,26,3,1,2,3,1,2,0,0,0,1,0,1,2,2,0,1,0,1,1.25,1,1.5,2,1,3,0.75,0.5,1,1.25,0.5,2,1.5,1,2,0.75,0.5,1,0.75,0.5,1,3,2,1,1,1,0,1,1,0,0,0,0,2,1,1,1,1,0,1,2,3,3,3,4,1,1,2,2,2,2,0,1,1,1,1,2,75,50,25,25,25,0,50,50,0,0,0,0,100,50,50,50,50,0,25,50,75,75,75,100,50,50,100,100,100,100,0,50,50,50,50,100,3,2,1,1,1,0,2,1,1,75,50,25,50,50,0,100,50,50,25,0,50,14,50,50,50,50,50,50,25,50,0,50,50,50,2,1,1,50,50,50,1,1,0,25,50,0,2,1,1,50,50,50,25,0,50,50,100,0,25,0,50,8.50,8.50,8.50,1.5,2,1.00,100,100,100,100,75,50,50,0,0.00,0.00,0.00,0.00,0.00,0.00,50,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,50,100,0,25,0,50,0
Greece National Team,Greece,2010,Greece,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,3,0,0,24,2,5,-3,7,5,2,2,0,3,2,-1,-2,134,90,0,54,60,45,0,0,0,1,1,0,2,1,1,0,0,0,23,12,11,5,4,1,46,45,49,37,29,8,19,16,3,18,13,5,40,28,12,1,1,0,2,1,1,-1,0,-1,0,0,0,2,2,0,1,0,1,0.67,1,0,2.33,2.5,2,0.67,1,0,1.67,1.5,2,1,1,1,0.33,0.5,0,0.67,0.5,1,3,3,1,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,2,3,3,3,0,0,1,2,2,2,0,0,1,1,1,1,100,100,33,0,0,0,100,100,50,0,0,0,100,100,0,0,0,0,0,0,67,100,100,100,0,0,50,100,100,100,0,0,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,50,50,0,100,0,0,33,50,0,30,0,0,0,33,50,0,67,50,100,0,0,0,1,1,0,33,50,0,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,67,100,0,33,0,100,7.67,6.00,11.00,1.67,2,1.00,100,100,100,100,100,67,67,67,0.00,0.00,0.00,0.00,0.00,0.00,33,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,67,50,100,33
Italy National Team,Italy,2010,Italy,3,2,1,0,0,0,0,2,2,0,1,0,1,0.67,1,0,4,0,0,26,4,5,-1,9,4,5,2,2,2,3,0,-1,68,90,45,54,90,30,0,0,0,3,2,1,0,0,0,0,0,0,26,23,3,5,1,4,57,58,54,40,24,16,20,13,7,20,11,9,43,26,17,1,1,0,3,2,1,-2,-1,-1,0,0,0,1,1,0,2,1,1,0.33,0.5,0,3,2,5,1.33,1,2,1.67,1,3,1.33,1.5,1,0.33,0.5,0,1,1,1,3,3,1,1,1,0,2,2,0,0,0,0,1,1,1,1,1,0,0,0,2,2,2,3,0,0,2,2,2,2,0,0,0,0,0,1,100,100,33,33,33,0,100,100,0,0,0,0,100,100,100,100,100,0,0,0,67,67,67,100,0,0,100,100,100,100,0,0,0,0,0,100,3,1,0,2,1,0,1,0,0,100,33,0,100,50,0,100,0,0,0,0,0,8,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,33,50,0,67,50,100,8.67,11.50,3.00,1.67,0.5,4.00,100,100,100,67,67,67,33,33,0.00,0.00,0.00,0.00,0.00,0.00,133,0,0,1,0,0,0,1,0,2,1,0,1,1,0,0,0,1,1,67,100,0,33,0,100,33
Netherlands National Team,Netherlands,2010,Netherlands,7,5,2,0,6,4,2,0,0,0,1,1,0,2.57,2.4,3,1,0,0,2,12,6,6,18,10,8,7,5,3,3,4,2,53,64,36,105,150,60,2,2,0,4,2,2,1,1,0,5,3,2,31,25,6,24,18,6,54,54,52,85,58,27,53,36,17,32,22,10,126,95,31,3,1,2,2,1,1,1,0,1,2,1,1,4,3,1,1,1,0,1.43,1.2,2,2.57,2,4,1.71,1.4,2.5,0.86,0.6,1.5,0.71,0.4,1.5,0.43,0.2,1,0.29,0.2,0.5,7,5,4,1,1,0,5,3,2,0,0,0,2,2,2,1,1,0,0,2,3,6,6,7,0,2,3,5,5,5,0,0,0,1,1,2,100,71,57,14,14,0,100,60,40,0,0,0,100,100,100,50,50,0,0,29,43,86,86,100,0,40,60,100,100,100,0,0,0,50,50,100,4,1,0,2,0,0,2,1,0,57,14,0,40,0,0,100,50,0,86,80,100,6,29,40,0,57,40,100,14,20,0,71,60,100,5,4,1,71,80,50,4,4,0,57,80,0,1,0,1,14,0,50,29,20,50,57,60,50,14,20,0,4.43,5.00,3.00,3.43,3.6,3.00,100,71,56,28,28,28,14,14,0.00,0.00,0.00,0.00,0.00,0.00,71,0,2,0,1,1,2,2,1,3,1,0,0,0,1,0,1,0,2,0,0,0,14,20,0,0
