team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Czech Republic National Team,Czech Republic,2006,Czech Republic,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,19,3,4,-1,7,4,3,0,3,4,0,-4,3,90,0,30,68,45,0,1,0,1,0,0,0,2,2,0,1,0,1,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,-2,2,1,0,1,0,0,0,2,2,0,1,0,3,2.33,2,3,1,0,3,1.33,2,0,1.33,1,2,0.67,0,2,0.67,1,0,3,3,1,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,2,3,3,3,0,0,2,2,2,2,0,0,0,1,1,1,100,100,33,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,67,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,3,1,0,2,0,0,1,1,0,100,33,0,100,0,0,100,100,0,33,0,100,-75,33,0,100,0,0,0,67,100,0,33,0,100,1,0,1,33,0,100,2,2,0,67,100,0,0,0,0,0,0,0,33,0,100,0,0,0,67,100,0,0.00,0.00,0.00,3,2.5,4.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,67,100,0,0
Switzerland National Team,Switzerland,2006,Switzerland,4,2,2,0,2,1,1,2,1,1,0,0,0,2,2,2,1,0,0,9,4,0,4,4,2,2,2,2,0,0,2,2,90,90,90,0,0,0,4,2,2,0,0,0,2,1,1,2,1,1,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,2,1,1,2,1,1,0,0,0,2,2,2,1,1,1,1,1,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,4,4,4,4,1,1,2,2,2,2,1,1,2,2,2,2,50,50,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,50,50,100,100,100,100,50,50,100,100,100,100,50,50,100,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,50,50,50,0,100,100,100,0,0,0,50,50,50,50,50,50,4,2,2,100,100,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,0.00,0.00,0.00,3,3,3.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50,50,50,0,0,0,0
Spain National Team,Spain,2006,Spain,4,3,1,0,3,2,1,0,0,0,1,1,0,2.25,2,3,1,0,0,8,9,4,5,13,12,1,8,1,4,0,4,1,40,34,90,90,68,0,2,1,1,2,2,0,0,0,0,3,2,1,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,2,0,2,1,1,2,1,1,1,1,0,1,1,0,1.75,1.33,3,3.25,4,1,2.25,2.67,1,1,1.33,0,1.5,1.67,1,1,1,1,0.5,0.67,0,4,3,3,3,0,0,3,3,3,3,0,0,1,0,0,0,0,0,0,1,1,1,4,4,0,0,0,0,3,3,0,1,1,1,1,1,100,75,75,75,0,0,100,100,100,100,0,0,100,0,0,0,0,0,0,25,25,25,100,100,0,0,0,0,100,100,0,100,100,100,100,100,4,2,0,3,2,0,1,0,0,100,50,0,100,67,0,100,0,0,75,67,100,-7,50,33,100,50,67,0,0,0,0,75,67,100,2,1,1,50,33,100,1,1,0,25,33,0,1,1,0,25,33,0,50,33,100,25,33,0,25,33,0,0.00,0.00,0.00,1.5,1,3.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,2,1,1,1,0,0,2,2,1,0,0,0,1,0,0,0,2,0,0,0,25,33,0,0
Portugal National Team,Portugal,2006,Portugal,7,4,3,0,4,3,1,1,0,1,2,1,1,1.86,2.25,1.33,1,0,0,4,7,5,2,12,7,5,5,2,2,3,3,-1,90,72,134,127,180,90,4,2,2,2,1,1,2,1,1,4,3,1,0,0,0,24,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,2,0,2,1,1,3,2,1,3,1,2,1,1,0,1.71,1.75,1.67,1.71,1.75,1.67,1,1.25,0.67,0.71,0.5,1,0.86,1.25,0.33,0.57,0.75,0.33,0.29,0.5,0,6,3,2,1,0,0,4,2,1,0,0,0,2,1,1,1,0,0,1,4,5,6,7,7,0,2,3,4,4,4,1,2,2,2,3,3,86,43,29,14,0,0,100,50,25,0,0,0,67,33,33,33,0,0,14,57,71,86,100,100,0,50,75,100,100,100,33,67,67,67,100,100,4,1,1,3,1,1,1,0,0,57,14,14,75,25,25,33,0,0,57,75,33,28,57,50,67,29,25,33,29,25,33,57,75,33,5,2,3,71,50,100,4,2,2,57,50,67,1,1,0,14,25,0,43,50,33,43,25,67,14,25,0,0.00,0.00,0.00,3.43,4.25,2.33,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,43,2,0,2,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,14,0,33,29,25,33,0
Sweden National Team,Sweden,2006,Sweden,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2,0,0,14,3,4,-1,7,5,2,3,0,2,2,1,-2,120,60,0,90,90,90,2,1,1,1,1,0,2,0,2,1,1,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,-3,-1,-2,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,1.75,2.5,1,0.75,1.5,0,1,1,1,0.75,0.5,1,0,0,0,0.75,0.5,1,3,2,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,2,3,3,4,4,0,1,1,1,2,2,1,1,2,2,2,2,75,50,25,25,0,0,100,50,50,50,0,0,50,50,0,0,0,0,25,50,75,75,100,100,0,50,50,50,100,100,50,50,100,100,100,100,2,1,0,1,0,0,1,1,0,50,25,0,50,0,0,50,50,0,25,50,0,0,50,50,50,25,50,0,50,0,100,25,50,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,0.00,0.00,0.00,2.5,2.5,2.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,1,50,50,50,25,0,50,0
Ukraine National Team,Ukraine,2006,Ukraine,5,1,4,0,2,1,1,1,0,1,2,0,2,1.4,3,1,2,0,0,10,5,7,-2,12,1,11,1,4,0,7,1,-3,90,90,90,64,0,51,3,1,2,0,0,0,3,0,3,2,1,1,0,0,0,14,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,-1,0,-1,1,0,1,2,1,1,2,0,2,1,1,1,2.4,1,2.75,1,1,1,1.4,0,1.75,1,0,1.25,0.4,0,0.5,0.6,0,0.75,4,3,3,2,0,0,1,0,0,0,0,0,3,3,3,2,0,0,1,2,2,3,5,5,0,1,1,1,1,1,1,1,1,2,4,4,80,60,60,40,0,0,100,0,0,0,0,0,75,75,75,50,0,0,20,40,40,60,100,100,0,100,100,100,100,100,25,25,25,50,100,100,3,2,0,0,0,0,3,2,0,60,40,0,0,0,0,75,50,0,40,100,25,50,60,100,50,0,0,0,60,0,75,40,100,25,3,1,2,60,100,50,4,1,3,80,100,75,0,0,0,0,0,0,20,0,25,40,100,25,40,0,50,0.00,0.00,0.00,2.8,4,2.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,60,1,0,0,1,1,0,1,0,1,1,2,0,0,1,1,1,0,1,20,0,25,40,0,50,0
Poland National Team,Poland,2006,Poland,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,21,2,4,-2,6,2,4,0,2,2,2,-2,0,134,0,90,68,45,90,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,-1,-1,0,0,0,0,2,0,2,1,1,0,0.67,0,1,2,2,2,0.67,0,1,1.33,2,1,1,1,1,0.33,0,0.5,0.67,1,0.5,3,2,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,1,2,3,3,3,0,0,1,1,1,1,0,1,1,2,2,2,100,67,33,0,0,0,100,100,0,0,0,0,100,50,50,0,0,0,0,33,67,100,100,100,0,0,100,100,100,100,0,50,50,100,100,100,2,1,0,1,0,0,1,1,0,67,33,0,100,0,0,50,50,0,33,0,50,-75,0,0,0,33,0,50,67,100,50,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,67,0,100,33,100,0,0.00,0.00,0.00,3.33,1,4.50,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,67,100,50,0
Germany National Team,Germany,2006,Germany,7,6,1,0,5,4,1,1,1,0,1,1,0,2.29,2.17,3,1,0,0,2,14,6,8,20,17,3,11,3,6,0,5,3,45,49,30,105,90,0,3,2,1,3,3,0,1,1,0,5,4,1,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,1,0,5,3,2,3,2,1,4,4,0,0,0,0,1.86,1.67,3,2.86,2.83,3,2,1.83,3,0.86,1,0,1,0.83,2,0.86,0.67,2,0.14,0.17,0,7,6,3,2,1,1,6,5,2,2,1,1,1,1,1,0,0,0,0,1,4,5,6,6,0,1,4,4,5,5,0,0,0,1,1,1,100,86,43,29,14,14,100,83,33,33,17,17,100,100,100,0,0,0,0,14,57,71,86,86,0,17,67,67,83,83,0,0,0,100,100,100,3,3,1,2,2,1,1,1,0,43,43,14,33,33,17,100,100,0,71,67,100,-13,43,33,100,43,50,0,14,17,0,71,67,100,6,5,1,86,83,100,4,4,0,57,67,0,1,1,0,14,17,0,43,33,100,57,67,0,0,0,0,0.00,0.00,0.00,1.71,1.83,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,71,3,2,0,0,1,2,2,2,2,0,1,0,0,1,0,0,1,1,14,17,0,14,17,0,0
England National Team,England,2006,England,5,4,1,0,3,3,0,2,1,1,0,0,0,2.2,2.5,1,1,0,0,6,6,2,4,8,4,4,4,2,0,2,4,0,75,90,45,225,0,45,4,4,0,1,0,1,1,1,0,4,3,1,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,2,1,1,3,3,0,0,0,0,1.8,1.5,3,1.6,1,4,1.2,1,2,0.4,0,2,0.4,0.25,1,0.4,0.25,1,0,0,0,4,2,1,1,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,3,4,4,5,5,1,3,4,4,4,4,0,0,0,0,1,1,80,40,20,20,0,0,75,25,0,0,0,0,100,100,100,100,0,0,20,60,80,80,100,100,25,75,100,100,100,100,0,0,0,0,100,100,2,0,0,1,0,0,1,0,0,40,0,0,25,0,0,100,0,0,60,75,0,42,80,100,0,20,0,100,20,25,0,80,75,100,5,4,1,100,100,100,3,3,0,60,75,0,0,0,0,0,0,0,40,25,100,60,75,0,0,0,0,0.00,0.00,0.00,2.2,2.5,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,40,1,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,40,25,100,0,0,0,0
Italy National Team,Italy,2006,Italy,7,5,2,0,5,3,2,2,2,0,0,0,0,2.43,2.2,3,1,0,0,1,12,2,10,14,10,4,8,4,2,0,6,4,53,56,45,310,225,0,5,3,2,2,2,0,0,0,0,6,4,2,0,0,0,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,2,2,0,3,2,1,3,2,1,4,3,1,0,0,0,1.86,1.8,2,2,2,2,1.71,1.6,2,0.29,0.4,0,1,1.2,0.5,0.71,0.8,0.5,0.29,0.4,0,7,6,1,0,0,0,5,4,1,0,0,0,2,2,0,0,0,0,0,1,6,7,7,7,0,1,4,5,5,5,0,0,2,2,2,2,100,86,14,0,0,0,100,80,20,0,0,0,100,100,0,0,0,0,0,14,86,100,100,100,0,20,80,100,100,100,0,0,100,100,100,100,5,2,0,4,2,0,1,0,0,71,29,0,80,40,0,50,0,0,71,60,100,-22,71,60,100,29,40,0,0,0,0,86,80,100,5,3,2,71,60,100,2,1,1,29,20,50,2,2,0,29,40,0,43,40,50,57,60,50,0,0,0,0.00,0.00,0.00,2.14,2.6,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,43,1,1,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,29,40,0,0,0,0,0
