team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Switzerland National Team,Switzerland,2014,Switzerland,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,12,7,7,0,14,10,4,4,3,6,1,-2,2,51,45,60,51,30,180,1,0,1,2,2,0,1,0,1,1,0,1,19,13,6,3,1,2,47,56,38,53,28,25,24,10,14,29,18,11,64,20,44,2,0,2,4,4,0,-2,-4,2,1,0,1,1,0,1,2,2,0,1,0,2,3.5,5,2,1.75,2,1.5,1.75,3,0.5,1.5,2,1,0.5,0,1,1,2,0,4,3,3,1,1,1,2,2,2,1,1,1,2,1,1,0,0,0,0,1,1,3,3,3,0,0,0,1,1,1,0,1,1,2,2,2,100,75,75,25,25,25,100,100,100,50,50,50,100,50,50,0,0,0,0,25,25,75,75,75,0,0,0,50,50,50,0,50,50,100,100,100,3,2,1,2,1,1,1,1,0,75,50,25,100,50,50,50,50,0,50,50,50,-29,25,0,50,50,100,0,25,0,50,25,0,50,2,0,2,50,0,100,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,0,50,50,100,0,4.75,6.50,3.00,0.75,0.5,1.00,100,100,75,50,50,50,50,25,0.00,0.00,0.00,0.00,0.00,0.00,100,1,0,0,1,1,0,0,1,3,0,2,1,1,0,0,1,1,0,0,0,0,50,50,50,25
Spain National Team,Spain,2014,Spain,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,23,4,7,-3,11,8,3,1,3,7,0,-6,3,68,180,30,39,26,0,1,0,1,1,1,0,1,1,0,2,1,1,17,11,6,3,2,1,58,62,49,33,26,7,19,14,5,14,12,2,29,20,9,2,1,1,3,3,0,-1,-2,1,1,0,1,1,1,0,1,1,0,1.33,0.5,3,3.67,4,3,1.33,0.5,3,2.33,3.5,0,1.67,2,1,0.67,0.5,1,1,1.5,0,3,3,2,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,100,100,67,33,33,33,100,100,50,50,50,50,100,100,100,0,0,0,0,0,33,67,67,67,0,0,50,50,50,50,0,0,0,100,100,100,3,2,0,2,2,0,1,0,0,100,67,0,100,100,0,100,0,0,33,0,100,-56,33,0,100,33,50,0,33,50,0,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,1,1,0,33,50,0,33,0,100,33,50,0,33,50,0,5.67,5.50,6.00,1,1,1.00,67,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,1,1,0,0,1,0,1,0,1,0,0,2,1,1,2,0,0,0,0,67,100,0,0
Portugal National Team,Portugal,2014,Portugal,3,1,2,0,1,1,0,1,0,1,1,0,1,1.33,3,0.5,3,0,0,15,4,7,-3,11,3,8,2,2,1,6,1,-4,68,45,90,39,90,30,0,0,0,2,1,1,1,0,1,2,1,1,17,7,10,4,1,3,51,56,49,45,17,28,19,8,11,26,9,17,43,20,23,2,1,1,3,0,3,-1,1,-2,2,1,1,0,0,0,1,0,1,2,3,1.5,3.67,3,4,1.33,2,1,2.33,1,3,1.67,1,2,0.67,1,0.5,1,0,1.5,3,3,3,2,0,0,1,1,1,0,0,0,2,2,2,2,0,0,0,0,0,1,3,3,0,0,0,1,1,1,0,0,0,0,2,2,100,100,100,67,0,0,100,100,100,0,0,0,100,100,100,100,0,0,0,0,0,33,100,100,0,0,0,100,100,100,0,0,0,0,100,100,3,1,1,1,0,0,2,1,1,100,33,33,100,0,0,100,50,50,33,100,0,54,0,0,0,67,100,50,33,0,50,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,0,0,0,67,100,50,0,0,0,33,0,50,5.67,7.00,5.00,1.33,1,1.50,100,100,100,100,33,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,67,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,33,0,50,33,0,50,0
Germany National Team,Germany,2014,Germany,7,4,3,0,6,3,3,1,1,0,0,0,0,2.71,2.5,3,1,0,0,1,18,4,14,22,12,10,9,9,3,1,6,8,35,40,30,158,120,273,4,2,2,3,2,1,0,0,0,7,4,3,37,26,11,6,3,3,56,59,52,75,52,23,42,28,14,33,24,9,91,52,39,9,3,6,0,0,0,9,3,6,3,1,2,4,3,1,0,0,0,1.86,1.5,2.33,3.14,3,3.33,2.57,2.25,3,0.57,0.75,0.33,1.29,0.75,2,1.29,0.75,2,0,0,0,7,4,4,3,1,1,4,3,3,2,0,0,3,1,1,1,1,1,0,3,3,4,6,6,0,1,1,2,4,4,0,2,2,2,2,2,100,57,57,43,14,14,100,75,75,50,0,0,100,33,33,33,33,33,0,43,43,57,86,86,0,25,25,50,100,100,0,67,67,67,67,67,3,2,2,1,1,1,2,1,1,43,29,29,25,25,25,67,33,33,86,75,100,-22,57,50,67,43,50,33,0,0,0,100,100,100,7,4,3,100,100,100,4,3,1,57,75,33,0,0,0,0,0,0,43,25,67,57,75,33,0,0,0,5.29,6.50,3.67,0.86,0.75,1.00,86,86,56,56,28,28,14,14,0.00,0.00,0.00,0.00,0.00,0.00,100,0,3,4,1,1,2,1,3,0,0,0,0,0,0,1,1,0,1,14,25,0,0,0,0,0
England National Team,England,2014,England,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,27,2,4,-2,6,3,3,1,1,2,2,-1,-1,134,90,180,68,45,90,1,0,1,2,1,1,1,0,1,0,0,0,22,9,13,4,1,3,56,49,60,41,19,22,19,7,12,22,12,10,35,8,27,1,1,0,2,1,1,-1,0,-1,0,0,0,2,1,1,1,0,1,0.67,1,0.5,2,3,1.5,0.67,1,0.5,1.33,2,1,1,2,0.5,0.33,1,0,0.67,1,0.5,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3,3,0,0,0,1,1,1,1,1,1,2,2,2,67,67,67,0,0,0,100,100,100,0,0,0,50,50,50,0,0,0,33,33,33,100,100,100,0,0,0,100,100,100,50,50,50,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,0,0,0,-1,33,0,50,67,100,50,33,0,50,0,0,0,1,0,1,33,0,50,2,0,2,67,0,100,1,1,0,33,100,0,0,0,0,67,100,50,33,0,50,7.33,9.00,6.50,1.33,1,1.50,100,100,100,100,67,33,33,0,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,33,0,50,67,100,50,0
Greece National Team,Greece,2014,Greece,4,1,3,0,1,1,0,2,0,2,1,0,1,1.25,3,0.67,2,0,0,13,3,5,-2,8,3,5,2,1,1,4,1,-3,120,45,273,72,90,68,1,0,1,2,1,1,2,0,2,1,1,0,26,4,22,8,0,8,48,50,47,57,11,46,27,3,24,30,8,22,55,9,46,1,1,0,1,0,1,0,1,-1,1,1,0,2,0,2,1,0,1,1.25,3,0.67,2,3,1.67,0.75,2,0.33,1.25,1,1.33,0.5,1,0.33,0.25,1,0,0.25,0,0.33,3,3,2,0,0,0,1,1,1,0,0,0,2,2,1,0,0,0,1,1,2,4,4,4,0,0,0,1,1,1,1,1,2,3,3,3,75,75,50,0,0,0,100,100,100,0,0,0,67,67,33,0,0,0,25,25,50,100,100,100,0,0,0,100,100,100,33,33,67,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,100,0,0,33,0,0,25,100,0,94,25,0,33,50,100,33,50,0,67,25,100,0,3,1,2,75,100,67,3,0,3,75,0,100,0,0,0,0,0,0,25,100,0,50,0,67,25,0,33,6.50,4.00,7.33,2,0,2.67,100,100,75,75,75,50,25,25,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,1,1,50,0,67,25,0,33,0
Italy National Team,Italy,2014,Italy,3,2,1,0,1,0,1,0,0,0,2,2,0,1,0,3,3,0,0,20,2,3,-1,5,2,3,0,2,2,1,-2,1,134,0,45,90,90,90,0,0,0,1,0,1,2,2,0,1,0,1,9,7,2,5,5,0,54,56,51,27,17,10,12,8,4,15,9,6,40,29,11,1,0,1,2,1,1,-1,-1,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,1.67,1,3,0.67,0,2,1,1,1,1,0.5,2,0.33,0,1,0.67,0.5,1,3,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,2,2,3,3,3,0,2,2,2,2,2,0,0,0,1,1,1,100,33,33,0,0,0,100,0,0,0,0,0,100,100,100,0,0,0,0,67,67,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,2,1,0,1,0,0,1,1,0,67,33,0,50,0,0,100,100,0,33,0,100,0,0,0,0,33,0,100,67,100,0,33,0,100,1,1,0,33,50,0,2,2,0,67,100,0,1,0,1,33,0,100,0,0,0,67,50,100,33,50,0,3.00,3.50,2.00,1.67,2.5,0.00,67,67,67,33,33,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,67,100,0,0
Belgium National Team,Belgium,2014,Belgium,5,3,2,0,4,3,1,0,0,0,1,0,1,2.4,3,1.5,1,0,0,5,6,3,3,9,7,2,5,1,2,1,3,0,75,54,180,150,134,180,2,1,1,2,2,0,1,0,1,3,2,1,39,31,8,9,4,5,53,56,50,78,54,24,41,30,11,37,24,13,81,57,24,0,0,0,2,1,1,-2,-1,-1,0,0,0,3,2,1,2,1,1,0.6,0.67,0.5,1.8,2.33,1,1.2,1.67,0.5,0.6,0.67,0.5,0.4,0.33,0.5,0,0,0,0.4,0.33,0.5,5,2,2,0,0,0,3,2,2,0,0,0,2,0,0,0,0,0,0,3,3,5,5,5,0,1,1,3,3,3,0,2,2,2,2,2,100,40,40,0,0,0,100,67,67,0,0,0,100,0,0,0,0,0,0,60,60,100,100,100,0,33,33,100,100,100,0,100,100,100,100,100,2,0,0,1,0,0,1,0,0,40,0,0,33,0,0,50,0,0,80,100,50,14,40,33,50,40,67,0,20,0,50,60,67,50,3,2,1,60,67,50,5,3,2,100,100,100,0,0,0,0,0,0,0,0,0,60,67,50,40,33,50,7.80,10.33,4.00,1.8,1.33,2.50,100,80,80,60,60,40,40,20,0.00,0.00,0.00,0.00,0.00,0.00,40,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,20,0,50,20
Netherlands National Team,Netherlands,2014,Netherlands,7,4,3,0,5,2,3,2,2,0,0,0,0,2.43,2,3,1,0,0,2,15,4,11,19,5,14,4,11,1,3,3,8,42,90,25,158,360,90,4,3,1,3,1,2,2,2,0,3,1,2,31,27,4,11,5,6,50,55,44,60,40,20,37,21,16,23,19,4,121,62,59,4,0,4,2,0,2,2,0,2,1,0,1,6,4,2,0,0,0,1.29,1,1.67,2.71,1.25,4.67,2.14,1,3.67,0.57,0.25,1,0.86,0,2,0.57,0,1.33,0.29,0,0.67,5,5,4,2,2,1,2,2,1,0,0,0,3,3,3,2,2,1,2,2,3,5,5,6,2,2,3,4,4,4,0,0,0,1,1,2,71,71,57,29,29,14,50,50,25,0,0,0,100,100,100,67,67,33,29,29,43,71,71,86,50,50,75,100,100,100,0,0,0,33,33,67,3,3,0,0,0,0,3,3,0,43,43,0,0,0,0,100,100,0,71,50,100,2,57,75,33,43,25,67,29,50,0,43,25,67,5,4,1,71,100,33,4,4,0,57,100,0,2,0,2,29,0,67,14,0,33,86,100,67,0,0,0,4.43,6.75,1.33,1.57,1.25,2.00,56,56,43,28,28,28,0,0,0.00,0.00,0.00,0.00,0.00,0.00,86,1,2,0,0,1,2,2,3,4,0,0,2,0,1,1,0,0,0,29,50,0,0,0,0,0
France National Team,France,2014,France,5,3,2,0,3,2,1,1,0,1,1,1,0,2,2,2,1,0,0,7,10,3,7,13,6,7,5,5,1,2,4,3,45,54,36,150,273,90,3,2,1,1,0,1,2,1,1,3,2,1,35,25,10,5,4,1,56,57,54,70,38,32,36,19,17,34,19,15,61,40,21,4,1,3,1,1,0,3,0,3,2,1,1,2,1,1,1,1,0,1.6,1.33,2,2.6,2,3.5,2,1.67,2.5,0.6,0.33,1,1,0.67,1.5,0.8,0.33,1.5,0.2,0.33,0,4,3,2,1,1,1,3,2,1,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,0,1,2,3,3,3,1,1,1,1,1,1,80,60,40,20,20,20,100,67,33,0,0,0,50,50,50,50,50,50,20,40,60,80,80,80,0,33,67,100,100,100,50,50,50,50,50,50,3,1,1,2,0,0,1,1,1,60,20,20,67,0,0,50,50,50,60,67,50,14,60,67,50,20,0,50,40,33,50,60,67,50,4,2,2,80,67,100,3,2,1,60,67,50,0,0,0,0,0,0,40,33,50,40,33,50,20,33,0,7.00,8.33,5.00,1,1.33,0.50,100,100,20,20,20,20,20,20,0.00,0.00,0.00,0.00,0.00,0.00,100,0,2,0,1,2,0,1,3,1,0,1,0,0,0,0,0,0,2,20,0,50,20,33,0,20
